"","Sex","Mechanism","variable","Age-standardised rate (per 100,000)","Median age at death (years)","Number"
"1293","Males","Poisons (excl. gas)","1956","3.0809555",". .","126"
"1294","Males","Poisons (excl. gas)","1957","3.6185112",". .","154"
"1295","Males","Poisons (excl. gas)","1958","3.7031572",". .","159"
"1296","Males","Poisons (excl. gas)","1959","3.49699",". .","153"
"1297","Males","Poisons (excl. gas)","1960","3.5302516",". .","154"
"1298","Males","Poisons (excl. gas)","1961","4.4278561",". .","200"
"1299","Males","Poisons (excl. gas)","1962","5.5245984",". .","261"
"1300","Males","Poisons (excl. gas)","1963","8.2116475",". .","384"
"1301","Males","Poisons (excl. gas)","1964","6.5138924","44","312"
"1302","Males","Poisons (excl. gas)","1965","7.3141082","45","354"
"1303","Males","Poisons (excl. gas)","1966","6.4925642","45","328"
"1304","Males","Poisons (excl. gas)","1967","7.2699148","43.5","370"
"1305","Males","Poisons (excl. gas)","1968","5.8622225","47","301"
"1306","Males","Poisons (excl. gas)","1969","5.9248629","44.5","314"
"1307","Males","Poisons (excl. gas)","1970","5.5459075","45","297"
"1308","Males","Poisons (excl. gas)","1971","5.6745371","45","315"
"1309","Males","Poisons (excl. gas)","1972","4.8526999","45","279"
"1310","Males","Poisons (excl. gas)","1973","4.1706339","45","239"
"1311","Males","Poisons (excl. gas)","1974","3.8124377","46","230"
"1312","Males","Poisons (excl. gas)","1975","3.8970861","46.5","228"
"1313","Males","Poisons (excl. gas)","1976","3.4271871","44","204"
"1314","Males","Poisons (excl. gas)","1977","2.8719377","42","183"
"1315","Males","Poisons (excl. gas)","1978","3.4964442","40","223"
"1316","Males","Poisons (excl. gas)","1979","3.5721906","39","235"
"1317","Males","Poisons (excl. gas)","1980","3.2438415","39","217"
"1318","Males","Poisons (excl. gas)","1981","3.0062967","42","199"
"1319","Males","Poisons (excl. gas)","1982","2.4451124","38","176"
"1320","Males","Poisons (excl. gas)","1983","2.5638645","41","179"
"1321","Males","Poisons (excl. gas)","1984","2.8373937","39","209"
"1322","Males","Poisons (excl. gas)","1985","2.5442805","37","188"
"1323","Males","Poisons (excl. gas)","1986","2.4502675","35","187"
"1324","Males","Poisons (excl. gas)","1987","3.0822241","40","228"
"1325","Males","Poisons (excl. gas)","1988","2.6857485","37","211"
"1326","Males","Poisons (excl. gas)","1989","2.2886924","38","181"
"1327","Males","Poisons (excl. gas)","1990","2.6271045","36","224"
"1328","Males","Poisons (excl. gas)","1991","2.9278365","40","242"
"1329","Males","Poisons (excl. gas)","1992","2.5203879","39","212"
"1330","Males","Poisons (excl. gas)","1993","2.0915379","41","177"
"1331","Males","Poisons (excl. gas)","1994","2.524301","39","219"
"1332","Males","Poisons (excl. gas)","1995","2.5362965","40","222"
"1333","Males","Poisons (excl. gas)","1996","2.2326843","40","199"
"1334","Males","Poisons (excl. gas)","1997","2.0990379","38","190"
"1335","Males","Poisons (excl. gas)","1998","1.9253531","38.5","178"
"1336","Males","Poisons (excl. gas)","1999","1.9535146","43","177"
"1337","Males","Poisons (excl. gas)","2000","1.8759459","40","175"
"1338","Males","Poisons (excl. gas)","2001","1.8619433","44","175"
"1339","Males","Poisons (excl. gas)","2002","1.8216735","41","172"
"1340","Males","Poisons (excl. gas)","2003","1.755333","44","171"
"1341","Males","Poisons (excl. gas)","2004","1.4994778","43","146"
"1342","Males","Poisons (excl. gas)","2005","1.382339","46","136"
"1343","Males","Poisons (excl. gas)","2006","1.175087","49","120"
"1344","Males","Poisons (excl. gas)","2007","1.3929875","48","144"
"1345","Males","Poisons (excl. gas)","2008","1.69104","46","178"
"1346","Males","Poisons (excl. gas)","2009","1.6999655","51","187"
"1347","Males","Poisons (excl. gas)","2010","1.4384375","50","159"
"1348","Males","Poisons (excl. gas)","2011","1.6591502","49","187"
"1349","Males","Poisons (excl. gas)","2012","1.9536043","49","222"
"1350","Males","Poisons (excl. gas)","2013","1.6267178","48","188"
"1351","Males","Poisons (excl. gas)","2014","2.0656805","49","244"
"1352","Males","Poisons (excl. gas)","2015","2.2627063","50","272"
"1353","Males","Poisons (excl. gas)","2016","1.9","53","236"
"1354","Males","Poisons (excl. gas)","2017","2.1","54","261"
"1355","Males","Poisons (excl. gas)","2018","1.8","53","236"
"1356","Males","Poisons (excl. gas)","2019","1.9","49","250"
